Date,Instrument / Cheque No,Narration / Details,Withdrawal (Debit),Deposit (Credit)
2026-03-02,NEFT-7811,ACH DR INFRA SOFT SOLUTIONS,45000.00,0
2026-03-05,RTGS-9901,RTGS CR ZEN RETAIL CORP CORP TRF,0,280000.00
2026-03-09,CHQ-401810,CLEARING CHQ 401810 DLF TOWERS,125000.00,0
2026-03-12,IMPS-3342,IMPS P2A CHROMA LTD BENGALURU,34200.00,0
2026-03-15,CMS-5512,CMS COLL TATA CONSULTANCY SERVICES,0,340000.00
2026-03-19,CHQ-401812,CLEARING CHQ 401812 BHARTI AIRTEL,14850.00,0
2026-03-20,NEFT-4421,BULK SALARY TRF NEFT-4421,96000.00,0
2026-03-23,CHQ-401815,CLEARING CHQ 401815 SHREE LOGISTICS,25400.00,0
2026-03-25,RTGS-1102,RTGS INWARD RELIANCE JIO INFOCOMM,0,410000.00
2026-03-28,CHQ-401818,CTS CLG CHQ 401818 AUDIT PARTNERS,50000.00,0
2026-03-30,AUTODR-8921,POS INTL AWS CLOUD SERVICES AMAZON,42300.00,0
2026-03-31,CHG-HDFC-Q4,Q4 CORP NETBANKING AMC + GST 18%,885.00,0
2026-03-31,INT-SWEEP-03,INTEREST CR SWEEP DEPOSIT 91D,0,12450.00
