Date,Ref / Cheque No,Particulars / Narration,Debit (Receipts),Credit (Payments)
2026-03-02,NEFT-7811,InfraSoft Solutions - Monthly SaaS,0,45000.00
2026-03-05,RTGS-9901,Client Inflow - Zen Retail Corp,280000.00,0
2026-03-08,CHQ-401810,Office Space Lease - DLF Towers,0,125000.00
2026-03-12,IMPS-3342,Hardware Peripherals - Chroma Ltd,0,34200.00
2026-03-15,CMS-5512,Customer Payment - Tata Consultancy,340000.00,0
2026-03-18,CHQ-401812,Airtel Enterprise Leased Line,0,14850.00
2026-03-20,NEFT-4421,Staff March Incentive Payout,0,96000.00
2026-03-22,CHQ-401815,Shree Logistics Freight Invoice,0,24500.00
2026-03-25,RTGS-1102,Client Retainer - Reliance Jio,410000.00,0
2026-03-27,CHQ-401818,Statutory Auditor Professional Fees,0,50000.00
2026-03-29,CHQ-401821,Dell India - Server Hardware Upgrade,0,124500.00
2026-03-30,CHQ-401825,Office Supplies Mart - Fiscal Restock,0,18400.00
2026-03-30,DEP-881204,Client Cheque - Starlight Media Ltd,85000.00,0
